"Feature","Log2FC","Average level","T_statistic","P_value","Adjusted p_value","Associated proportions","Gene_ID","Description","sig","negLogPval"
"ZNF85",0.146,2.6,0.881,0.38,0.824,"None","7639","zinc finger protein 85","NS",0.42021640338319
"MED10",-0.213,5.27,-0.882,0.38,0.824,"None","84246","mediator complex subunit 10","NS",0.42021640338319
"DNAH17",-0.452,-0.0513,-0.883,0.38,0.824,"None","8632","dynein axonemal heavy chain 17","NS",0.42021640338319
"RNU4ATAC",0.201,-2.45,0.883,0.381,0.824,"None","100151683","RNA, U4atac small nuclear (U12-dependent splicing)","NS",0.419075024324381
"C11orf65",0.24,-0.514,0.88,0.381,0.824,"None","160140","chromosome 11 open reading frame 65","NS",0.419075024324381
"SLC39A3",-0.128,3.86,-0.879,0.381,0.825,"None","29985","solute carrier family 39 member 3","NS",0.419075024324381
"CCL3",0.356,4.35,0.88,0.381,0.825,"None","6348","C-C motif chemokine ligand 3","NS",0.419075024324381
"CYP3A43",0.42,-1.28,0.881,0.381,0.824,"None","64816","cytochrome P450 family 3 subfamily A member 43","NS",0.419075024324381
"TAT",0.258,-0.234,0.881,0.381,0.824,"None","6898","tyrosine aminotransferase","NS",0.419075024324381
"WNT11",0.223,1.99,0.881,0.381,0.824,"None","7481","Wnt family member 11","NS",0.419075024324381
"DOK3",-0.214,-0.153,-0.881,0.381,0.824,"None","79930","docking protein 3","NS",0.419075024324381
"CRACR2A",0.194,1.66,0.88,0.381,0.825,"None","84766","calcium release activated channel regulator 2A","NS",0.419075024324381
"PLXNA4",-0.286,0.855,-0.881,0.381,0.824,"None","91584","plexin A4","NS",0.419075024324381
"ABCB6",-0.234,0.395,-0.879,0.382,0.825,"None","10058","ATP binding cassette subfamily B member 6 (Langereis blood group)","NS",0.417936637088291
"CHI3L2",-0.272,-1.36,-0.879,0.382,0.825,"None","1117","chitinase 3 like 2","NS",0.417936637088291
"GALNT15",0.464,-0.0989,0.879,0.382,0.825,"None","117248","polypeptide N-acetylgalactosaminyltransferase 15","NS",0.417936637088291
"MBOAT2",0.139,5.4,0.878,0.382,0.825,"None","129642","membrane bound O-acyltransferase domain containing 2","NS",0.417936637088291
"CCDC150",0.249,0.768,0.879,0.382,0.825,"None","284992","coiled-coil domain containing 150","NS",0.417936637088291
"LIN9",0.225,0.749,0.879,0.382,0.825,"None","286826","lin-9 DREAM MuvB core complex component","NS",0.417936637088291
"C1orf112",0.213,0.975,0.878,0.382,0.825,"None","55732","chromosome 1 open reading frame 112","NS",0.417936637088291
"CX3CL1",0.29,6.05,0.878,0.382,0.825,"None","6376","C-X3-C motif chemokine ligand 1","NS",0.417936637088291
"SPN",0.308,-1.85,0.881,0.382,0.825,"Non-endocrine","6693","sialophorin","NS",0.417936637088291
"CD276",-0.199,5.97,-0.878,0.382,0.825,"None","80381","CD276 molecule","NS",0.417936637088291
"ANKRD27",0.195,3.64,0.879,0.382,0.825,"None","84079","ankyrin repeat domain 27","NS",0.417936637088291
"WDR75",0.118,4.57,0.879,0.382,0.825,"None","84128","WD repeat domain 75","NS",0.417936637088291
"LIN52",-0.123,3.51,-0.879,0.382,0.825,"None","91750","lin-52 DREAM MuvB core complex component","NS",0.417936637088291
"CALHM3",0.319,-1.9,0.877,0.383,0.826,"None","119395","calcium homeostasis modulator 3","NS",0.416801226031377
"PPP1R32",-0.168,0.839,-0.877,0.383,0.826,"None","220004","protein phosphatase 1 regulatory subunit 32","NS",0.416801226031377
"FAM13C",-0.222,3.12,-0.876,0.383,0.826,"None","220965","family with sequence similarity 13 member C","NS",0.416801226031377
"FOXD4",-0.251,-1.33,-0.876,0.383,0.826,"None","2298","forkhead box D4","NS",0.416801226031377
"IL6R",-0.198,6.36,-0.877,0.383,0.826,"None","3570","interleukin 6 receptor","NS",0.416801226031377
"FAHD2A",0.118,3.82,0.876,0.383,0.826,"None","51011","fumarylacetoacetate hydrolase domain containing 2A","NS",0.416801226031377
"ACP2",-0.127,5.27,-0.877,0.383,0.826,"None","53","acid phosphatase 2, lysosomal","NS",0.416801226031377
"VPS18",-0.136,4.78,-0.877,0.383,0.826,"None","57617","VPS18 core subunit of CORVET and HOPS complexes","NS",0.416801226031377
"ZNF180",0.199,2.47,0.877,0.383,0.826,"None","7733","zinc finger protein 180","NS",0.416801226031377
"DYSF",0.298,1.85,0.877,0.383,0.826,"None","8291","dysferlin","NS",0.416801226031377
"SLC35G5",-0.358,-2.19,-0.879,0.383,0.826,"None","83650","solute carrier family 35 member G5","NS",0.416801226031377
"CDC14B",0.13,5.18,0.876,0.383,0.826,"None","8555","cell division cycle 14B","NS",0.416801226031377
"CLDN4",0.26,8.1,0.875,0.384,0.826,"None","1364","claudin 4","NS",0.415668775632469
"DIO1",0.229,-2.08,0.875,0.384,0.826,"None","1733","iodothyronine deiodinase 1","NS",0.415668775632469
"NRK",0.324,-1.36,0.877,0.384,0.826,"None","203447","Nik related kinase","NS",0.415668775632469
"SLC39A12",-0.397,-2.41,-0.885,0.384,0.826,"None","221074","solute carrier family 39 member 12","NS",0.415668775632469
"FOSB",0.425,9.55,0.875,0.384,0.826,"None","2354","FosB proto-oncogene, AP-1 transcription factor subunit","NS",0.415668775632469
"MYADML2",-0.255,-2.49,-0.876,0.384,0.826,"None","255275","myeloid associated differentiation marker like 2","NS",0.415668775632469
"ETV3L",-0.284,-2.06,-0.878,0.384,0.826,"None","440695","ETS variant transcription factor 3 like","NS",0.415668775632469
"NRTN",0.278,2.65,0.875,0.384,0.826,"None","4902","neurturin","NS",0.415668775632469
"ITSN2",0.161,6.33,0.874,0.384,0.826,"None","50618","intersectin 2","NS",0.415668775632469
"ZGRF1",0.176,2.28,0.875,0.384,0.826,"None","55345","zinc finger GRF-type containing 1","NS",0.415668775632469
"ZNF668",-0.152,2.05,-0.874,0.384,0.826,"None","79759","zinc finger protein 668","NS",0.415668775632469
"WDR78",0.149,1.8,0.876,0.384,0.826,"None","79819","WD repeat domain 78","NS",0.415668775632469
"ZNF671",-0.161,3.05,-0.875,0.384,0.826,"None","79891","zinc finger protein 671","NS",0.415668775632469
"LRRC8E",0.32,1.46,0.874,0.384,0.826,"None","80131","leucine rich repeat containing 8 VRAC subunit E","NS",0.415668775632469
"FUZ",0.184,3.2,0.875,0.384,0.826,"None","80199","fuzzy planar cell polarity protein","NS",0.415668775632469
"GGACT",0.191,1.67,0.874,0.384,0.826,"None","87769","gamma-glutamylamine cyclotransferase","NS",0.415668775632469
"PKMYT1",-0.329,-0.893,-0.874,0.384,0.826,"None","9088","protein kinase, membrane associated tyrosine/threonine 1","NS",0.415668775632469
"FLI1",0.272,1.27,0.873,0.385,0.826,"None","2313","Fli-1 proto-oncogene, ETS transcription factor","NS",0.414539270491499
"DDAH2",-0.169,4.4,-0.873,0.385,0.826,"None","23564","dimethylarginine dimethylaminohydrolase 2","NS",0.414539270491499
"GRM1",-0.269,0.0183,-0.873,0.385,0.826,"None","2911","glutamate metabotropic receptor 1","NS",0.414539270491499
"TTC6",0.298,-1.7,0.873,0.385,0.826,"None","319089","tetratricopeptide repeat domain 6","NS",0.414539270491499
"C17orf67",0.18,1.09,0.872,0.385,0.826,"None","339210","chromosome 17 open reading frame 67","NS",0.414539270491499
"MUC21",-0.73,-1.95,-0.882,0.385,0.826,"None","394263","mucin 21, cell surface associated","NS",0.414539270491499
"FIGNL2",-0.285,-1.52,-0.873,0.385,0.826,"None","401720","fidgetin like 2","NS",0.414539270491499
"NFE2L2",0.135,6.23,0.873,0.385,0.826,"None","4780","nuclear factor, erythroid 2 like 2","NS",0.414539270491499
"PDE3A",0.196,4.82,0.872,0.385,0.826,"None","5139","phosphodiesterase 3A","NS",0.414539270491499
"MTFP1",-0.211,-0.0399,-0.872,0.385,0.826,"None","51537","mitochondrial fission process 1","NS",0.414539270491499
"MAP10",0.168,2.37,0.872,0.385,0.826,"None","54627","microtubule associated protein 10","NS",0.414539270491499
"SLC30A10",-0.319,-1.72,-0.875,0.385,0.826,"None","55532","solute carrier family 30 member 10","NS",0.414539270491499
"HNF1B",0.216,4.28,0.873,0.385,0.826,"None","6928","HNF1 homeobox B","NS",0.414539270491499
"FMC1",0.218,0.253,0.871,0.386,0.826,"None","154791","formation of mitochondrial complex V assembly factor 1 homolog","NS",0.413412695328245
"CNIH4",-0.126,4.04,-0.872,0.386,0.826,"None","29097","cornichon family AMPA receptor auxiliary protein 4","NS",0.413412695328245
"CDR2L",0.137,3.47,0.87,0.386,0.827,"None","30850","cerebellar degeneration related protein 2 like","NS",0.413412695328245
"FIGLA",-0.582,-1.88,-0.882,0.386,0.826,"None","344018","folliculogenesis specific bHLH transcription factor","NS",0.413412695328245
"LILRA5",0.296,-2.06,0.877,0.386,0.826,"None","353514","leukocyte immunoglobulin like receptor A5","NS",0.413412695328245
"MRPL35",0.137,4.09,0.872,0.386,0.826,"None","51318","mitochondrial ribosomal protein L35","NS",0.413412695328245
"FBXW7",0.14,5.8,0.871,0.386,0.826,"None","55294","F-box and WD repeat domain containing 7","NS",0.413412695328245
"ZNF280C",0.149,2.68,0.871,0.386,0.826,"None","55609","zinc finger protein 280C","NS",0.413412695328245
"FAR2",0.222,0.71,0.872,0.386,0.826,"None","55711","fatty acyl-CoA reductase 2","NS",0.413412695328245
"ZNF350",-0.207,3.24,-0.871,0.386,0.826,"None","59348","zinc finger protein 350","NS",0.413412695328245
"GDAP1L1",-0.236,3.38,-0.871,0.386,0.826,"None","78997","ganglioside induced differentiation associated protein 1 like 1","NS",0.413412695328245
"RPS6KL1",-0.129,4.58,-0.871,0.386,0.826,"None","83694","ribosomal protein S6 kinase like 1","NS",0.413412695328245
"BSN",-0.214,5.57,-0.872,0.386,0.826,"Endocrine","8927","bassoon presynaptic cytomatrix protein","NS",0.413412695328245
"CCRL2",-0.307,0.638,-0.872,0.386,0.826,"None","9034","C-C motif chemokine receptor like 2","NS",0.413412695328245
"CENPL",-0.228,1.97,-0.87,0.386,0.827,"None","91687","centromere protein L","NS",0.413412695328245
"URB1",0.171,4.25,0.871,0.386,0.826,"None","9875","URB1 ribosome biogenesis homolog","NS",0.413412695328245
"EFCAB13",0.244,1.38,0.869,0.387,0.827,"None","124989","EF-hand calcium binding domain 13","NS",0.412289034981089
"EPHA4",0.28,1.67,0.87,0.387,0.827,"None","2043","EPH receptor A4","NS",0.412289034981089
"ARL6IP1",-0.179,7.25,-0.869,0.387,0.828,"None","23204","ADP ribosylation factor like GTPase 6 interacting protein 1","NS",0.412289034981089
"FOXN2",-0.166,5.67,-0.868,0.387,0.828,"None","3344","forkhead box N2","NS",0.412289034981089
"PPOX",-0.165,3.49,-0.869,0.387,0.828,"None","5498","protoporphyrinogen oxidase","NS",0.412289034981089
"TP53AIP1",-0.302,-0.27,-0.868,0.387,0.828,"None","63970","tumor protein p53 regulated apoptosis inducing protein 1","NS",0.412289034981089
"PDCD2L",0.152,1.65,0.869,0.387,0.827,"None","84306","programmed cell death 2 like","NS",0.412289034981089
"RBP7",0.247,0.211,0.868,0.388,0.828,"None","116362","retinol binding protein 7","NS",0.411168274405793
"COMMD3",0.149,2.95,0.867,0.388,0.829,"None","23412","COMM domain containing 3","NS",0.411168274405793
"FEZF2",-0.233,-2.31,-0.871,0.388,0.829,"None","55079","FEZ family zinc finger 2","NS",0.411168274405793
"ARHGAP15",0.274,-1.17,0.868,0.388,0.829,"None","55843","Rho GTPase activating protein 15","NS",0.411168274405793
"USP37",0.179,3.92,0.867,0.388,0.829,"None","57695","ubiquitin specific peptidase 37","NS",0.411168274405793
"GTF2H2C",0.193,2.24,0.867,0.388,0.829,"None","728340","GTF2H2 family member C","NS",0.411168274405793
"ITGBL1",-0.208,3.24,-0.868,0.388,0.828,"None","9358","integrin subunit beta like 1","NS",0.411168274405793
"RNF24",-0.193,4.13,-0.866,0.389,0.829,"None","11237","ring finger protein 24","NS",0.410050398674292
"NUDT16",-0.242,6.23,-0.865,0.389,0.83,"None","131870","nudix hydrolase 16","NS",0.410050398674292
"HSPBP1",-0.122,4.85,-0.865,0.389,0.829,"None","23640","HSPA (Hsp70) binding protein 1","NS",0.410050398674292
"TXNDC11",-0.131,6.42,-0.866,0.389,0.829,"None","51061","thioredoxin domain containing 11","NS",0.410050398674292
"INSIG2",0.133,4.18,0.866,0.389,0.829,"Non-endocrine","51141","insulin induced gene 2","NS",0.410050398674292
"NUDT9",-0.131,6.16,-0.865,0.389,0.829,"None","53343","nudix hydrolase 9","NS",0.410050398674292
"WDR5B",-0.198,2.54,-0.866,0.389,0.829,"None","54554","WD repeat domain 5B","NS",0.410050398674292
"EVA1B",0.24,2.79,0.878,0.389,0.83,"None","55194","eva-1 homolog B","NS",0.410050398674292
"LRIF1",-0.186,3.17,-0.865,0.389,0.83,"None","55791","ligand dependent nuclear receptor interacting factor 1","NS",0.410050398674292
"PCDHGB3",-0.212,0.861,-0.866,0.389,0.829,"None","56102","protocadherin gamma subfamily B, 3","NS",0.410050398674292
"TRAPPC11",0.141,4.81,0.865,0.389,0.829,"None","60684","trafficking protein particle complex 11","NS",0.410050398674292
"WNT1",-0.323,-1.98,-0.867,0.389,0.829,"None","7471","Wnt family member 1","NS",0.410050398674292
"CCDC28B",0.134,2.41,0.866,0.389,0.829,"None","79140","coiled-coil domain containing 28B","NS",0.410050398674292
"DPT",0.254,2.76,0.864,0.39,0.83,"None","1805","dermatopontin","NS",0.408935392973501
"AMN1",0.121,2.88,0.863,0.39,0.83,"None","196394","antagonist of mitotic exit network 1 homolog","NS",0.408935392973501
"SORCS3",0.31,-2.45,0.873,0.39,0.83,"None","22986","sortilin related VPS10 domain containing receptor 3","NS",0.408935392973501
"FOXI1",0.356,-2.19,0.87,0.39,0.83,"None","2299","forkhead box I1","NS",0.408935392973501
"SUMF2",0.114,6.96,0.863,0.39,0.83,"None","25870","sulfatase modifying factor 2","NS",0.408935392973501
"LINC02716",0.292,-1.85,0.866,0.39,0.83,"None","374387","long intergenic non-protein coding RNA 2716","NS",0.408935392973501
"PLEKHF2",0.145,5.71,0.863,0.39,0.83,"None","79666","pleckstrin homology and FYVE domain containing 2","NS",0.408935392973501
"ATG4C",0.29,2.34,0.864,0.39,0.83,"None","84938","autophagy related 4C cysteine peptidase","NS",0.408935392973501
"ZNF623",-0.156,3.81,-0.863,0.39,0.83,"None","9831","zinc finger protein 623","NS",0.408935392973501
"ABCB8",-0.138,4.66,-0.861,0.391,0.83,"None","11194","ATP binding cassette subfamily B member 8","NS",0.407823242604133
"LRRC39",-0.219,0.538,-0.862,0.391,0.83,"None","127495","leucine rich repeat containing 39","NS",0.407823242604133
"BEST3",-0.328,2.72,-0.862,0.391,0.83,"None","144453","bestrophin 3","NS",0.407823242604133
"TMC8",0.276,0.165,0.861,0.391,0.83,"None","147138","transmembrane channel like 8","NS",0.407823242604133
"SPACA4",-0.291,-2.27,-0.863,0.391,0.83,"None","171169","sperm acrosome associated 4","NS",0.407823242604133
"FBXO24",0.218,-0.771,0.863,0.391,0.83,"None","26261","F-box protein 24","NS",0.407823242604133
"GPS2",-0.153,1.52,-0.862,0.391,0.83,"None","2874","G protein pathway suppressor 2","NS",0.407823242604133
"FOXA3",0.19,3.5,0.862,0.391,0.83,"None","3171","forkhead box A3","NS",0.407823242604133
"KCNA7",0.318,-2.61,0.87,0.391,0.83,"None","3743","potassium voltage-gated channel subfamily A member 7","NS",0.407823242604133
"C17orf100",-0.188,2.65,-0.861,0.391,0.83,"None","388327","chromosome 17 open reading frame 100","NS",0.407823242604133
"OVGP1",-0.324,3.03,-0.862,0.391,0.83,"None","5016","oviductal glycoprotein 1","NS",0.407823242604133
"RLIM",-0.149,6.85,-0.862,0.391,0.83,"None","51132","ring finger protein, LIM domain interacting","NS",0.407823242604133
"POU5F1P4",-0.24,-2.53,-0.864,0.391,0.83,"None","645682","POU class 5 homeobox 1 pseudogene 4","NS",0.407823242604133
"MORN2",-0.181,4.24,-0.862,0.391,0.83,"None","729967","MORN repeat containing 2","NS",0.407823242604133
"SPATA5L1",0.164,3.09,0.862,0.391,0.83,"None","79029","spermatogenesis associated 5 like 1","NS",0.407823242604133
"PLA2G7",0.246,-2.05,0.865,0.391,0.83,"None","7941","phospholipase A2 group VII","NS",0.407823242604133
"COG3",-0.133,6.11,-0.862,0.391,0.83,"None","83548","component of oligomeric golgi complex 3","NS",0.407823242604133
"PSD2",0.306,0.0513,0.862,0.391,0.83,"None","84249","pleckstrin and Sec7 domain containing 2","NS",0.407823242604133
"MAML2",-0.165,4.81,-0.862,0.391,0.83,"None","84441","mastermind like transcriptional coactivator 2","NS",0.407823242604133
"ITM2A",-0.255,2.68,-0.863,0.391,0.83,"None","9452","integral membrane protein 2A","NS",0.407823242604133
"SETD1A",-0.169,5.82,-0.861,0.391,0.83,"None","9739","SET domain containing 1A, histone lysine methyltransferase","NS",0.407823242604133
"CDH8",0.365,-1.51,0.86,0.392,0.831,"None","1006","cadherin 8","NS",0.406713932979543
"HECTD2",0.144,4.74,0.861,0.392,0.83,"None","143279","HECT domain E3 ubiquitin protein ligase 2","NS",0.406713932979543
"DSTNP2",-0.139,2.28,-0.859,0.392,0.831,"None","171220","DSTN pseudogene 2","NS",0.406713932979543
"ALG5",-0.133,5.46,-0.859,0.392,0.831,"None","29880","ALG5 dolichyl-phosphate beta-glucosyltransferase","NS",0.406713932979543
"NUDT2",-0.135,3.78,-0.86,0.392,0.831,"None","318","nudix hydrolase 2","NS",0.406713932979543
"MFSD2B",-0.274,-1.52,-0.861,0.392,0.83,"None","388931","major facilitator superfamily domain containing 2B","NS",0.406713932979543
"LGALS3BP",-0.149,8.18,-0.86,0.392,0.831,"None","3959","galectin 3 binding protein","NS",0.406713932979543
"ASH1L",0.131,6.68,0.86,0.392,0.831,"None","55870","ASH1 like histone lysine methyltransferase","NS",0.406713932979543
"TMEM35A",-0.25,-1.96,-0.861,0.392,0.831,"None","59353","transmembrane protein 35A","NS",0.406713932979543
"ZNF195",-0.15,5.2,-0.861,0.392,0.83,"None","7748","zinc finger protein 195","NS",0.406713932979543
"MAP3K14",0.191,4.91,0.86,0.392,0.831,"None","9020","mitogen-activated protein kinase kinase kinase 14","NS",0.406713932979543
"MED12",0.158,4.69,0.86,0.392,0.831,"None","9968","mediator complex subunit 12","NS",0.406713932979543
"C10orf82",0.242,-2.12,0.859,0.393,0.831,"None","143379","chromosome 10 open reading frame 82","NS",0.405607449624573
"TBC1D12",0.137,4.27,0.857,0.393,0.831,"None","23232","TBC1 domain family member 12","NS",0.405607449624573
"TCERG1L",0.235,3.37,0.859,0.393,0.831,"None","256536","transcription elongation regulator 1 like","NS",0.405607449624573
"ABR",-0.152,6.89,-0.858,0.393,0.831,"None","29","ABR activator of RhoGEF and GTPase","NS",0.405607449624573
"MIR212",-0.234,-2.32,-0.86,0.393,0.831,"None","406994","microRNA 212","NS",0.405607449624573
"LMOD2",0.389,-1.79,0.859,0.393,0.831,"None","442721","leiomodin 2","NS",0.405607449624573
"PHKG1",-0.415,2.2,-0.859,0.393,0.831,"None","5260","phosphorylase kinase catalytic subunit gamma 1","NS",0.405607449624573
"PCDHAC1",-0.21,2.9,-0.859,0.393,0.831,"None","56135","protocadherin alpha subfamily C, 1","NS",0.405607449624573
"RFX2",-0.29,5.53,-0.858,0.393,0.831,"None","5990","regulatory factor X2","NS",0.405607449624573
"IGF2BP1",0.602,-2.18,0.865,0.394,0.831,"None","10642","insulin like growth factor 2 mRNA binding protein 1","NS",0.404503778174426
"SLC52A3",0.257,0.0938,0.856,0.394,0.831,"Non-endocrine","113278","solute carrier family 52 member 3","NS",0.404503778174426
"LDHAL6A",0.293,-2.22,0.857,0.394,0.831,"None","160287","lactate dehydrogenase A like 6A","NS",0.404503778174426
"TMEM92",0.338,-1.88,0.859,0.394,0.831,"None","162461","transmembrane protein 92","NS",0.404503778174426
"TRPV3",0.223,1.29,0.856,0.394,0.831,"None","162514","transient receptor potential cation channel subfamily V member 3","NS",0.404503778174426
"ERF",0.136,5.35,0.857,0.394,0.831,"None","2077","ETS2 repressor factor","NS",0.404503778174426
"CAMSAP2",0.174,5.69,0.856,0.394,0.831,"None","23271","calmodulin regulated spectrin associated protein family member 2","NS",0.404503778174426
"GCAT",0.222,3.73,0.857,0.394,0.831,"Non-endocrine","23464","glycine C-acetyltransferase","NS",0.404503778174426
"OPN3",-0.258,0.548,-0.856,0.394,0.831,"None","23596","opsin 3","NS",0.404503778174426
"SIGLEC15",0.269,0.406,0.856,0.394,0.831,"None","284266","sialic acid binding Ig like lectin 15","NS",0.404503778174426
"LOX",-0.177,3.31,-0.856,0.394,0.831,"Non-endocrine","4015","lysyl oxidase","NS",0.404503778174426
"ARMCX6",0.142,3.11,0.856,0.394,0.831,"None","54470","armadillo repeat containing X-linked 6","NS",0.404503778174426
"POU3F1",-0.274,-0.696,-0.856,0.394,0.831,"Endocrine","5453","POU class 3 homeobox 1","NS",0.404503778174426
"WDR19",-0.129,5.16,-0.857,0.394,0.831,"None","57728","WD repeat domain 19","NS",0.404503778174426
"RPS3A",0.162,9.12,0.856,0.394,0.831,"None","6189","ribosomal protein S3A","NS",0.404503778174426
"ZGPAT",-0.135,2.87,-0.857,0.394,0.831,"None","84619","zinc finger CCCH-type and G-patch domain containing","NS",0.404503778174426
"PIAS1",-0.145,6.08,-0.856,0.394,0.831,"None","8554","protein inhibitor of activated STAT 1","NS",0.404503778174426
"ESAM",-0.173,3.74,-0.857,0.394,0.831,"None","90952","endothelial cell adhesion molecule","NS",0.404503778174426
"RGS6",0.239,-0.629,0.857,0.394,0.831,"None","9628","regulator of G protein signaling 6","NS",0.404503778174426
"MIR3909",-0.26,-1.9,-0.856,0.395,0.831,"None","100500826","microRNA 3909","NS",0.40340290437354
"PRSS21",-0.348,-1.23,-0.856,0.395,0.831,"None","10942","serine protease 21","NS",0.40340290437354
"COX4I1",-0.142,7.86,-0.855,0.395,0.831,"None","1327","cytochrome c oxidase subunit 4I1","NS",0.40340290437354
"DNAJC16",-0.128,4.24,-0.854,0.395,0.831,"None","23341","DnaJ heat shock protein family (Hsp40) member C16","NS",0.40340290437354
"CCDC158",-0.238,1.95,-0.855,0.395,0.831,"None","339965","coiled-coil domain containing 158","NS",0.40340290437354
"ITIH1",-0.276,-1.71,-0.855,0.395,0.831,"None","3697","inter-alpha-trypsin inhibitor heavy chain 1","NS",0.40340290437354
"HNRNPM",-0.174,8.13,-0.855,0.395,0.831,"None","4670","heterogeneous nuclear ribonucleoprotein M","NS",0.40340290437354
"NSFL1C",-0.168,6.16,-0.855,0.395,0.831,"None","55968","NSFL1 cofactor","NS",0.40340290437354
"ADAM12",0.327,-0.461,0.855,0.395,0.831,"None","8038","ADAM metallopeptidase domain 12","NS",0.40340290437354
"ATP6V0E1",-0.13,6.6,-0.855,0.395,0.831,"None","8992","ATPase H+ transporting V0 subunit e1","NS",0.40340290437354
"RASAL2",0.158,5.48,0.854,0.395,0.831,"None","9462","RAS protein activator like 2","NS",0.40340290437354
"HS3ST3B1",0.237,2.22,0.854,0.395,0.831,"None","9953","heparan sulfate-glucosamine 3-sulfotransferase 3B1","NS",0.40340290437354
"AASS",-0.234,3.93,-0.852,0.396,0.832,"None","10157","aminoadipate-semialdehyde synthase","NS",0.402304814074488
"PRDX4",-0.157,7.24,-0.852,0.396,0.832,"None","10549","peroxiredoxin 4","NS",0.402304814074488
"ABAT",-0.192,7.11,-0.852,0.396,0.832,"None","18","4-aminobutyrate aminotransferase","NS",0.402304814074488
"ARL13B",0.156,3.44,0.853,0.396,0.831,"None","200894","ADP ribosylation factor like GTPase 13B","NS",0.402304814074488
"PLA2R1",0.211,0.818,0.853,0.396,0.831,"None","22925","phospholipase A2 receptor 1","NS",0.402304814074488
"SIRT5",0.18,2.86,0.852,0.396,0.832,"None","23408","sirtuin 5","NS",0.402304814074488
"FNTB",-0.138,2.36,-0.853,0.396,0.831,"None","2342","farnesyltransferase, CAAX box, beta","NS",0.402304814074488
"TPSD1",0.393,-1.02,0.854,0.396,0.831,"None","23430","tryptase delta 1","NS",0.402304814074488
"RASGEF1C",0.28,-2.18,0.857,0.396,0.832,"None","255426","RasGEF domain family member 1C","NS",0.402304814074488
"ERVW-1",0.339,-1.33,0.853,0.396,0.832,"None","30816","endogenous retrovirus group W member 1, envelope","NS",0.402304814074488
"RTL5",-0.166,5.68,-0.852,0.396,0.832,"None","340526","retrotransposon Gag like 5","NS",0.402304814074488
"MGP",-0.184,5.43,-0.853,0.396,0.831,"None","4256","matrix Gla protein","NS",0.402304814074488
"NFATC4",0.146,3.4,0.853,0.396,0.831,"None","4776","nuclear factor of activated T cells 4","NS",0.402304814074488
"FAM174C",-0.121,4.14,-0.852,0.396,0.832,"None","55009","family with sequence similarity 174 member C","NS",0.402304814074488
"FLVCR2",-0.24,-0.984,-0.853,0.396,0.831,"None","55640","FLVCR heme transporter 2","NS",0.402304814074488
"PCDHGB6",-0.149,2.11,-0.853,0.396,0.831,"None","56100","protocadherin gamma subfamily B, 6","NS",0.402304814074488
"KRTAP5-8",-0.262,-2.45,-0.856,0.396,0.831,"None","57830","keratin associated protein 5-8","NS",0.402304814074488
"RPS9",0.159,9.36,0.853,0.396,0.831,"None","6203","ribosomal protein S9","NS",0.402304814074488
"SCG5",-0.154,10.7,-0.853,0.396,0.831,"None","6447","secretogranin V","NS",0.402304814074488
"SSR2",-0.116,7.19,-0.853,0.396,0.831,"None","6746","signal sequence receptor subunit 2","NS",0.402304814074488
"WNT9A",-0.174,2.96,-0.853,0.396,0.831,"None","7483","Wnt family member 9A","NS",0.402304814074488
"ARRDC1",0.129,4.28,0.853,0.396,0.831,"None","92714","arrestin domain containing 1","NS",0.402304814074488
"SAP30-DT",-0.251,0.885,-0.852,0.397,0.832,"None","105377540","SAP30 divergent transcript","NS",0.401209493236885
"PNPLA6",-0.121,5.59,-0.851,0.397,0.832,"None","10908","patatin like phospholipase domain containing 6","NS",0.401209493236885
"ARSK",-0.194,3.32,-0.851,0.397,0.832,"None","153642","arylsulfatase family member K","NS",0.401209493236885
"DSC3",-0.531,-1.24,-0.854,0.397,0.832,"None","1825","desmocollin 3","NS",0.401209493236885
"SNX32",-0.251,-0.741,-0.851,0.397,0.832,"None","254122","sorting nexin 32","NS",0.401209493236885
"GRM5",-0.339,-1.95,-0.853,0.397,0.832,"None","2915","glutamate metabotropic receptor 5","NS",0.401209493236885
"TAS2R8",0.265,-2.32,0.858,0.397,0.832,"None","50836","taste 2 receptor member 8","NS",0.401209493236885
"DUSP13",-0.38,-1.88,-0.853,0.397,0.832,"None","51207","dual specificity phosphatase 13","NS",0.401209493236885
"PET100",0.197,1.54,0.85,0.398,0.833,"None","100131801","PET100 cytochrome c oxidase chaperone","NS",0.400116927926312
"LOC101926956",0.326,-2,0.851,0.398,0.833,"None","101926956","uncharacterized LOC101926956","NS",0.400116927926312
"ERCC6",0.128,3.92,0.849,0.398,0.833,"None","2074","ERCC excision repair 6, chromatin remodeling factor","NS",0.400116927926312
"TAS2R43",-0.266,-2.39,-0.852,0.398,0.833,"None","259289","taste 2 receptor member 43","NS",0.400116927926312
"P2RY10",-0.3,-2.68,-0.861,0.398,0.833,"None","27334","P2Y receptor family member 10","NS",0.400116927926312
"KCNS2",0.325,-0.881,0.851,0.398,0.833,"None","3788","potassium voltage-gated channel modifier subfamily S member 2","NS",0.400116927926312
"STPG3",0.237,-2.29,0.85,0.398,0.833,"None","441476","sperm-tail PG-rich repeat containing 3","NS",0.400116927926312
"ARGFX",-0.35,-2.48,-0.856,0.398,0.833,"None","503582","arginine-fifty homeobox","NS",0.400116927926312
"TMEM216",0.159,2.62,0.85,0.398,0.833,"None","51259","transmembrane protein 216","NS",0.400116927926312
"CCDC87",-0.247,0.298,-0.85,0.398,0.833,"None","55231","coiled-coil domain containing 87","NS",0.400116927926312
